Date,Color,color,base_color,simple_color,single_color,color_has_multi,color_has_blue,color_has_orange,color_has_red,color_has_grey,color_has_gold,color_has_white,color_has_tan,color_has_brown,color_has_black,Breed,Purebred,CKC Class,ckc_class,Sex,State,Name,DateCreated
2014-01-01,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Pomeranian,Pomeranian,Toy Dog,toy,M,lost,Griswald,2014-01-01
2014-01-02,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Terrier,Terrier,Terrier,terrier,M,lost,Rocko,2014-01-02
2014-01-01,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Lab X,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,Sailainja,2014-01-02
2014-01-02,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Border Collie,Border Collie,Herding Dog,herding,F,lost,,2014-01-02
2014-01-02,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Lab X,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,Sailainja,2014-01-02
2014-01-04,Red,Red,red,red,red,0,0,0,1,0,0,0,0,0,0,Shiba Inu,Shiba Inu,Non-Sporting Dog,nonsporting,M,lost,Chuck,2014-01-04
2014-01-09,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Greyhound,Greyhound,Hound,hound,X,lost,,2014-01-09
2014-01-08,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,M,lost,Jasper,2014-01-10
2014-01-10,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,F,lost,?,2014-01-10
2014-01-13,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Cairn Terrier,Cairn Terrier,Terrier,terrier,F,lost,Gracie,2014-01-13
2014-01-13,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,M,lost,Junior,2014-01-13
2014-01-14,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,M,lost,Zander,2014-01-14
2014-01-15,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,,,,,M,lost,Lynx,2014-01-15
2014-01-16,Red,Red,red,red,red,0,0,0,1,0,0,0,0,0,0,NS Duck Toll. Retriever,Nova Scotia Duck Toller Retriever,Sporting Dog,sporting,M,lost,Fenwick,2014-01-16
2014-01-17,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Border Collie,Border Collie,Herding Dog,herding,F,lost,Ari,2014-01-18
2014-01-18,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,Paso,2014-01-18
2014-01-19,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Chihuahua,Chihuahua,Toy Dog,toy,M,lost,Spresso,2014-01-19
2014-01-20,Tan,Tan,tan,tan,tan,0,0,0,0,0,0,0,1,0,0,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,n/a,2014-01-20
2014-01-18,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,Fiona,2014-01-20
2014-01-21,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,DSH,DSH Cat,,,M,lost,Zephyr,2014-01-21
2014-01-24,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Miniature Schnauzer,Miniature Schnauzer,Terrier,terrier,M/N,lost,Max,2014-01-24
2014-01-25,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Labrador,Labrador Retriever,Sporting Dog,sporting,F/S,lost,Lou Lou,2014-01-25
2014-01-26,Blue,Blue,blue,blue,blue,0,1,0,0,0,0,0,0,0,0,Parrot - Indian Ringneck,Parrot - Indian Ringneck,,,F,lost,Cleo,2014-01-26
2014-01-27,Yellow,Yellow,yellow,gold,gold,0,0,0,0,0,1,0,0,0,0,Shiba Inu,Shiba Inu,Non-Sporting Dog,nonsporting,F,lost,Bebe,2014-01-27
2014-01-28,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,Makiska,2014-01-28
2014-01-06,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Tabby,Tabby Cat,,,M,lost,Vishnu,2014-01-29
2014-02-01,Tan,Tan,tan,tan,tan,0,0,0,0,0,0,0,1,0,0,Terrier,Terrier,Terrier,terrier,M,lost,Nina,2014-02-01
2014-02-01,Golden,Golden,gold,gold,gold,0,0,0,0,0,1,0,0,0,0,NS Duck Toll. Retriever,Nova Scotia Duck Toller Retriever,Sporting Dog,sporting,F,lost,Daisy,2014-02-01
2014-02-02,,,,?,,0,0,0,0,0,0,0,0,0,0,Pitbull,Pitbull,Terrier,terrier,X,lost,Yoga Dog,2014-02-02
2014-02-02,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Labrador,Labrador Retriever,Sporting Dog,sporting,F/S,lost,Zoe,2014-02-02
2014-02-04,Tan,Tan,tan,tan,tan,0,0,0,0,0,0,0,1,0,0,Chihuahua,Chihuahua,Toy Dog,toy,M,lost,Peanut,2014-02-04
2014-02-06,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Lab X,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,Tazzy,2014-02-06
2014-02-06,Tan,Tan,tan,tan,tan,0,0,0,0,0,0,0,1,0,0,Pomeranian,Pomeranian,Toy Dog,toy,F/S,lost,"Licorice aka ""Licky""",2014-02-06
