,Date,Color,Breed,Purebred,CKC Class,dog_breed_type,Sex,State,pet_name,DateCreated,is_dog,sex_simple,date_created
0,2014-01-01,Grey,Pomeranian,Pomeranian,Toy Dog,toy,M,Lost,Griswald,2014-01-01,True,m,2014-01-01 00:00:00
1,2014-01-02,Brown,Terrier,Terrier,Terrier,terrier,M,Lost,Rocko,2014-01-02,True,m,2014-01-02 00:00:00
2,2014-01-01,Black,Lab X,Dog Crossbreed,Dog Crossbreed,crossbreed,F,Lost,Sailainja,2014-01-02,True,f,2014-01-02 00:00:00
3,2014-01-02,White,Border Collie,Border Collie,Herding Dog,herding,F,Lost,,2014-01-02,True,f,2014-01-02 00:00:00
4,2014-01-02,White,Lab X,Dog Crossbreed,Dog Crossbreed,crossbreed,F,Lost,Sailainja,2014-01-02,True,f,2014-01-02 00:00:00
5,2014-01-04,Other,Shiba Inu,Shiba Inu,Non-Sporting Dog,nonsporting,M,Lost,Chuck,2014-01-04,True,m,2014-01-04 00:00:00
6,2014-01-09,Grey,Greyhound,Greyhound,Hound,hound,X,Lost,,2014-01-09,True,x,2014-01-09 00:00:00
7,2014-01-08,Black,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,M,Lost,Jasper,2014-01-10,True,m,2014-01-10 00:00:00
8,2014-01-10,Black,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,F,Lost,?,2014-01-10,True,f,2014-01-10 00:00:00
9,2014-01-13,Grey,Cairn Terrier,Cairn Terrier,Terrier,terrier,F,Lost,Gracie,2014-01-13,True,f,2014-01-13 00:00:00
10,2014-01-13,Brown,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,M,Lost,Junior,2014-01-13,True,m,2014-01-13 00:00:00
11,2014-01-14,Grey,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,M,Lost,Zander,2014-01-14,True,m,2014-01-14 00:00:00
12,2014-01-15,Brown,,,,,M,Lost,Lynx,2014-01-15,False,m,2014-01-15 00:00:00
13,2014-01-16,Other,NS Duck Toll. Retriever,Nova Scotia Duck Toller Retriever,Sporting Dog,sporting,M,Lost,Fenwick,2014-01-16,True,m,2014-01-16 00:00:00
