date_created,color_has_multi,color_has_blue,color_has_orange,color_has_red,color_has_grey,color_has_gold,color_has_white,color_has_tan,color_has_brown,color_has_black,is_dog
2011-01-31,2,0,0,0,0,0,2,0,1,2,1.0
2011-02-28,19,1,1,1,2,1,15,8,6,15,27.0
2011-03-31,14,0,2,2,3,2,13,1,5,14,20.0
2011-04-30,13,0,0,1,3,5,11,11,2,9,28.0
2011-05-31,15,0,2,0,0,1,7,7,4,12,14.0
2011-06-30,10,0,2,1,4,4,8,2,2,8,15.0
2011-07-31,17,0,3,0,3,3,14,6,8,10,22.0
2011-08-31,26,1,2,1,7,2,24,10,7,14,28.0
2011-09-30,23,1,3,0,6,1,20,3,4,18,23.0
2011-10-31,23,1,2,1,4,4,22,9,6,19,38.0
2011-11-30,22,1,1,3,5,6,17,9,7,16,34.0
2011-12-31,20,0,0,2,5,4,14,10,11,15,29.0
2012-01-31,15,0,3,0,4,2,14,5,7,14,31.0
2012-02-29,16,1,3,0,4,1,10,7,9,18,31.0
2012-03-31,25,0,7,1,8,4,19,6,7,15,31.0
2012-04-30,31,0,0,4,7,2,22,11,17,25,48.0
2012-05-31,42,0,6,3,10,9,41,18,29,27,70.0
2012-06-30,47,3,11,7,14,4,31,10,20,40,51.0
2012-07-31,52,1,5,3,11,8,46,14,27,31,64.0
2012-08-31,56,4,8,5,23,12,42,14,14,39,57.0
2012-09-30,42,1,3,1,14,3,39,14,19,29,49.0
2012-10-31,37,1,5,3,13,6,27,8,22,17,46.0
2012-11-30,28,0,7,2,7,4,26,9,12,24,44.0
2012-12-31,22,0,0,2,7,4,16,8,9,20,32.0
2013-01-31,22,0,3,1,5,0,23,7,7,18,29.0
2013-02-28,25,2,0,3,7,2,19,5,9,16,27.0
2013-03-31,29,0,2,2,3,2,25,12,17,22,54.0
2013-04-30,13,0,1,2,5,3,21,7,12,13,46.0
2013-05-31,16,1,3,7,13,6,25,4,5,20,46.0
2013-06-30,1,0,2,5,7,3,13,9,8,16,51.0
2013-07-31,5,2,4,3,9,4,18,4,12,28,51.0
2013-08-31,8,1,6,2,11,10,20,5,13,40,62.0
2013-09-30,0,0,3,2,11,3,11,10,13,26,55.0
2013-10-31,1,0,8,0,10,3,17,5,10,23,40.0
2013-11-30,1,1,1,1,4,4,11,4,6,18,34.0
2013-12-31,0,0,0,0,5,5,9,4,8,21,46.0
2014-01-31,0,1,0,2,7,2,7,5,7,12,37.0
2014-02-28,0,1,0,1,2,4,4,4,5,16,33.0
2014-03-31,0,0,1,2,2,2,14,3,5,17,33.0
2014-04-30,0,1,3,2,1,3,15,2,11,22,51.0
2014-05-31,0,0,2,4,7,3,22,3,13,27,61.0
2014-06-30,1,0,2,3,9,1,13,4,11,25,45.0
2014-07-31,5,0,12,1,16,4,30,7,13,31,73.0
2014-08-31,3,1,3,3,17,4,22,2,12,31,52.0
2014-09-30,2,0,4,3,9,4,18,10,11,17,55.0
