name,dog_breed_type,count
?,Dog Crossbreed,25
?,Herding Dog,6
?,Non-Sporting Dog,2
?,Sporting Dog,6
?,Terrier,5
?,Toy Dog,4
?,Working Dog,5
Bailey,Dog Crossbreed,22
Bailey,Herding Dog,2
Bailey,Hound,2
Bailey,Non-Sporting Dog,3
Bailey,Sporting Dog,16
Bailey,Terrier,2
Bailey,Toy Dog,2
Bailey,Working Dog,1
Bear,Dog Crossbreed,28
Bear,Herding Dog,2
Bear,Non-Sporting Dog,4
Bear,Sporting Dog,4
Bear,Terrier,1
Bear,Working Dog,10
Buddy,Dog Crossbreed,39
Buddy,Herding Dog,4
Buddy,Hound,5
Buddy,Non-Sporting Dog,7
Buddy,Sporting Dog,11
Buddy,Terrier,8
Buddy,Toy Dog,4
Buddy,Working Dog,3
Charlie,Dog Crossbreed,27
Charlie,Hound,3
Charlie,Non-Sporting Dog,5
Charlie,Sporting Dog,14
Charlie,Terrier,5
Charlie,Toy Dog,5
Charlie,Working Dog,1
Daisy,Dog Crossbreed,20
Daisy,Herding Dog,2
Daisy,Hound,2
Daisy,Non-Sporting Dog,2
Daisy,Sporting Dog,7
Daisy,Terrier,6
Daisy,Toy Dog,3
Lucky,Dog Crossbreed,26
Lucky,Herding Dog,9
Lucky,Hound,3
Lucky,Non-Sporting Dog,8
Lucky,Sporting Dog,9
Lucky,Terrier,5
Lucky,Toy Dog,12
Lucky,Working Dog,7
Lucy,Dog Crossbreed,18
Lucy,Herding Dog,6
Lucy,Hound,3
Lucy,Non-Sporting Dog,7
Lucy,Sporting Dog,6
Lucy,Terrier,5
Lucy,Toy Dog,2
Lucy,Working Dog,2
Max,Dog Crossbreed,31
Max,Herding Dog,15
Max,Hound,5
Max,Non-Sporting Dog,4
Max,Sporting Dog,11
Max,Terrier,6
Max,Toy Dog,1
Max,Working Dog,7
Rocky,Dog Crossbreed,23
Rocky,Herding Dog,16
Rocky,Hound,3
Rocky,Non-Sporting Dog,10
Rocky,Sporting Dog,3
Rocky,Terrier,8
Rocky,Toy Dog,4
Rocky,Working Dog,13
