name,f,m,crossbreed,herding,hound,nonsporting,sporting,terrier,toy,working,found,lost,matched,color_has_multi,color_has_black,color_has_white,color_has_grey,color_has_brown,color_has_tan,color_has_red,color_has_orange,color_has_gold,color_has_blue
Bailey,21.0,29.0,22.0,2.0,2.0,3.0,16.0,2.0,2.0,1.0,3.0,29.0,18.0,19,14,14,2,10,12,1,1,14,0
Bear,4.0,45.0,28.0,2.0,0.0,4.0,4.0,1.0,0.0,10.0,2.0,30.0,17.0,30,31,16,6,15,11,1,1,1,0
Buddy,1.0,80.0,39.0,4.0,5.0,7.0,11.0,8.0,4.0,3.0,3.0,43.0,35.0,41,38,32,4,12,20,1,0,10,0
Charlie,3.0,57.0,27.0,0.0,3.0,5.0,14.0,5.0,5.0,1.0,5.0,35.0,20.0,25,21,20,5,12,12,3,0,11,0
Daisy,42.0,0.0,20.0,2.0,2.0,2.0,7.0,6.0,3.0,0.0,1.0,21.0,20.0,21,14,18,5,10,8,0,1,7,0
Lucky,15.0,64.0,26.0,9.0,3.0,8.0,9.0,5.0,12.0,7.0,2.0,50.0,27.0,47,43,28,6,20,27,0,0,8,0
Lucy,49.0,0.0,18.0,6.0,3.0,7.0,6.0,5.0,2.0,2.0,0.0,31.0,18.0,22,17,17,2,9,11,6,3,6,0
Max,1.0,79.0,31.0,15.0,5.0,4.0,11.0,6.0,1.0,7.0,2.0,46.0,32.0,45,44,29,7,8,24,3,0,11,2
Rocky,1.0,79.0,23.0,16.0,3.0,10.0,3.0,8.0,4.0,13.0,2.0,54.0,24.0,53,53,20,4,17,40,2,0,0,0
Tyson,0.0,38.0,12.0,1.0,0.0,4.0,2.0,8.0,2.0,9.0,1.0,27.0,10.0,21,27,10,0,6,12,0,0,1,1
