,Date,Color,Breed,Sex,State,Name,DateCreated
0,2014-01-01,Grey,Pomeranian,M,Lost,Griswald,2014-01-01
1,2014-01-02,Brown,Terrier,M,Lost,Rocko,2014-01-02
2,2014-01-01,Black,Lab X,F,Lost,Sailainja,2014-01-02
3,2014-01-02,White,Border Collie,F,Lost,,2014-01-02
4,2014-01-02,White,Lab X,F,Lost,Sailainja,2014-01-02
5,2014-01-04,Red,Shiba Inu,M,Lost,Chuck,2014-01-04
6,2014-01-09,Grey,Greyhound,X,Lost,,2014-01-09
7,2014-01-08,Black,Shih Tzu,M,Lost,Jasper,2014-01-10
8,2014-01-10,Black,Germ. Shepherd,F,Lost,?,2014-01-10
9,2014-01-13,Grey,Cairn Terrier,F,Lost,Gracie,2014-01-13
10,2014-01-13,Brown,.Unknown Breed Mix,M,Lost,Junior,2014-01-13
11,2014-01-14,Grey,.Unknown Breed Mix,M,Lost,Zander,2014-01-14
12,2014-01-15,Brown,,M,Lost,Lynx,2014-01-15
13,2014-01-16,Red,NS Duck Toll. Retriever,M,Lost,Fenwick,2014-01-16
14,2014-01-17,Brown,Border Collie,F,Lost,Ari,2014-01-18
15,2014-01-18,Black,.Unknown Breed Mix,F,Lost,Paso,2014-01-18
16,2014-01-19,Black,Chihuahua,M,Lost,Spresso,2014-01-19
17,2014-01-20,Tan,.Unknown Breed Mix,F,Lost,n/a,2014-01-20
18,2014-01-18,Grey,.Unknown Breed Mix,F,Lost,Fiona,2014-01-20
19,2014-01-21,White,DSH,M,Lost,Zephyr,2014-01-21
20,2014-01-24,Grey,Miniature Schnauzer,M/N,Lost,Max,2014-01-24
21,2014-01-25,Black,Labrador,F/S,Lost,Lou Lou,2014-01-25
22,2014-01-26,Blue,Parrot - Indian Ringneck,F,Lost,Cleo,2014-01-26
23,2014-01-27,Yellow,Shiba Inu,F,Lost,Bebe,2014-01-27
24,2014-01-28,Black,.Unknown Breed Mix,F,Lost,Makiska,2014-01-28
25,2014-01-06,Grey,Tabby,M,Lost,Vishnu,2014-01-29
26,2014-02-01,Tan,Terrier,M,Lost,Nina,2014-02-01
27,2014-02-01,Golden,NS Duck Toll. Retriever,F,Lost,Daisy,2014-02-01
28,2014-02-02,,Pit Bull,X,Lost,Yoga Dog,2014-02-02
29,2014-02-02,Black,Labrador,F/S,Lost,Zoe,2014-02-02
30,2014-02-04,Tan,Chihuahua,M,Lost,Peanut,2014-02-04
31,2014-02-06,Black,Lab X,F,Lost,Tazzy,2014-02-06
32,2014-02-06,Tan,Pomeranian,F/S,Lost,"Licorice aka ""Licky""",2014-02-06
33,2014-02-11,Black,French Bulldog,M,Lost,Bushido,2014-02-11
34,2014-02-12,Black,Husky X,F/S,Lost,Tundra,2014-02-12
35,2014-02-12,Grey,DSH,F/S,Lost,Fuzzy,2014-02-14
36,2014-02-15,Golden,Water Spaniel,F,Lost,Mikki,2014-02-15
37,2014-02-16,Black,Miniature Pinscher,M,Lost,Brodie,2014-02-16
38,2014-02-16,Brown,Chihuahua,X,Lost,,2014-02-16
39,2014-02-17,Black,DSH,M,Lost,,2014-02-17
40,2014-02-14,Black,DMH Cat,M,Lost,Pinky/Rocky,2014-02-17
41,2014-02-15,Brown,DMH Cat,M,Lost,Choxie,2014-02-18
42,2014-02-20,Black,Silky Terrier,M,Lost,Charlie,2014-02-20
43,2014-02-21,Black,DSH Cat,M,Lost,,2014-02-21
44,2014-02-22,Black,Germ. Shepherd,M,Lost,Gus,2014-02-22
45,2014-02-27,Black,Pit X,F/S,Lost,Rossi,2014-02-27
46,2014-03-02,Golden,Calico Tabby Cat,F,Lost,Crickett,2014-03-02
47,2014-03-03,White,Tabby,M/N,Lost,Dexter,2014-03-03
48,2014-03-03,White,Shih Tzu,M/N,Lost,Biggie,2014-03-04
49,2014-03-05,Black,Short Haired Tabby Cat,F/S,Lost,Jewles,2014-03-05
50,2014-03-06,White,Pit Bull,M,Lost,Zues,2014-03-06
51,2014-03-09,Black,Beagle,F,Lost,Dobby,2014-03-09
52,2014-03-10,Tan,Bullmastiff,F,Lost,Cassie,2014-03-10
53,2014-03-12,Black,Mixed Breed Cat,M,Lost,Basil,2014-03-12
54,2014-03-13,Black,Bengal (?),M,Lost,Buddy,2014-03-13
55,2014-03-13,Red,Amer. Staffordshire,F/S,Lost,Taya,2014-03-13
56,2014-03-14,White,Husky,F/S,Lost,Garbo,2014-03-14
57,2014-03-17,Brown,Chihuahua,M,Lost,Toby,2014-03-17
